player_name,position,team_abbr,ecr_overall_rank,vegas_implied_points,consensus_implied_points,vegas_vs_consensus_gap
Travis Etienne Jr.,RB,JAX,48.23,158.3,156.09932678547406,2.200673214525949
Bhayshul Tuten,RB,JAX,73.65,140.71428571428572,138.82743656157336,1.886849152712358
Romeo Doubs,WR,GB,131.65,107.58431783536585,106.75215890408873,0.8321589312771209
Chris Olave,WR,NO,20.86,178.60859375,177.93269787056806,0.6758958794319483
Malik Willis,QB,GB,135.83,194.90337078651686,194.35170936655985,0.5516614199570142
Jordan Addison,WR,MIN,106.81,116.27888719512195,116.77757398985247,-0.49868679473051714
Jonathan Taylor,RB,IND,12.23,229.3,229.9610904492151,-0.6610904492150951
George Pickens,WR,DAL,18.34,182.8703125,184.14648902593123,-1.2761765259312199
Lamar Jackson,QB,BAL,33.23,280.35337078651685,281.6876410427389,-1.3342702562220552
Kenyon Sadiq,TE,NYJ,208.2,82.33792837889872,83.80907715307389,-1.4711487741751625
James Cook III,RB,BUF,18.73,222.05,224.0316524497353,-1.981652449735293
Nico Collins,WR,HOU,15.37,188.56171875,191.10967784846406,-2.547959098464048
Carnell Tate,WR,TEN,66.34,131.36640625,133.99681872553845,-2.630412475538435
Ashton Jeanty,RB,LV,16.48,224.52702702702703,227.2556532241521,-2.7286261971250667
Brian Thomas Jr.,WR,JAX,79.4,124.27421875,127.39938413181278,-3.125165381812778
Justin Herbert,QB,LAC,70.12,246.67337078651687,250.15859639842208,-3.485225611905207
Garrett Wilson,WR,NYJ,29.47,162.5859375,166.63642908942148,-4.050491589421483
Emeka Egbuka,WR,TB,38.7,157.203125,161.48373387555614,-4.2806088755561404
Khalil Shakir,WR,BUF,118.3,112.06333841463415,116.77757398985247,-4.714235575218325
Jayden Reed,WR,GB,111.25,111.88769054878048,116.77757398985247,-4.889883441071987
A.J. Brown,WR,PHI,14.8,193.1609375,198.21545328196748,-5.0545157819674955
CeeDee Lamb,WR,DAL,8.71,208.46796875,214.26893851294042,-5.800969762940412
Drake London,WR,ATL,12.29,198.4453125,204.7816225080482,-6.336310008048201
Dalton Kincaid,TE,BUF,114.46,100.10377358490567,106.5450986640121,-6.441325079106434
Makai Lemon,WR,PHI,98.76,109.7799161585366,116.77757398985247,-6.997657831315877
Fernando Mendoza,QB,LV,250.74,157.11685393258426,165.2906724857725,-8.173818553188227
Jake Ferguson,TE,DAL,106.51,100.58490566037736,109.03752966408042,-8.452624003703065
Bijan Robinson,RB,ATL,3.1,223.05,232.33283863277524,-9.282838632775224
Luther Burden III,WR,CHI,45.18,142.71389100609755,152.97550065516563,-10.261609649068077
Denzel Boston,WR,CLE,157.45,79.04153963414635,89.86756734405883,-10.82602770991248
Caleb Williams,QB,CHI,68.22,243.36685393258426,254.49087961242375,-11.124025679839491
Justin Jefferson,WR,MIN,9.13,198.51484375,210.23613676432024,-11.721293014320224
Jaylen Waddle,WR,MIA,38.4,148.203125,163.06505569869051,-14.861930698690514
Ladd McConkey,WR,LAC,35.55,148.27265625,163.90579024582746,-15.63313399582745
Saquon Barkley,RB,PHI,26.45,189.0,212.3716550193397,-23.3716550193397
Christian McCaffrey,RB,SF,8.88,204.75,231.7549337450922,-27.00493374509219
Breece Hall,RB,NYJ,41.18,159.55,189.0995391115756,-29.549539111575598
Kenneth Walker III,RB,SEA,31.6,172.3,208.7066463621671,-36.406646362167095
Omarion Hampton,RB,LAC,24.36,175.25,215.20543353993864,-39.95543353993864
Jeremiyah Love,RB,ARI,36.96,159.55,203.67306216616413,-44.12306216616412
De'Von Achane,RB,MIA,19.69,169.55,220.78540140637588,-51.23540140637587
Chase Brown,RB,CIN,19.99,157.55,217.85833531374774,-60.30833531374773
