our_rank,our_pos_rank,player_name,position,adp_overall,adp_pos,espn_overall_rank,espn_pos_rank,adp_gap,espn_gap,verdict
48,11,Justin Herbert,QB,70.12,8.0,79.0,14.0,22.120000000000005,31.0,OUR RANK HIGH (ESPN lower)
49,18,David Montgomery,RB,64.45,24.0,65.0,26.0,15.450000000000003,16.0,OUR RANK HIGH (ESPN lower)
50,5,George Kittle,TE,105.54,10.0,56.0,5.0,55.540000000000006,6.0,MARKET FADE (ESPN agrees)
51,12,Brock Purdy,QB,95.46,12.0,62.0,9.0,44.459999999999994,11.0,MARKET FADE (ESPN agrees)
52,17,Tee Higgins,WR,32.88,17.0,58.0,20.0,-19.119999999999997,6.0,-
53,6,Kyle Pitts Sr.,TE,80.23,7.0,73.0,8.0,27.230000000000004,20.0,OUR RANK HIGH (ESPN lower)
54,18,Garrett Wilson,WR,29.47,14.0,36.0,10.0,-24.53,-18.0,-
55,19,Tetairoa McMillan,WR,30.39,15.0,45.0,16.0,-24.61,-10.0,-
56,19,Quinshon Judkins,RB,60.69,21.0,32.0,20.0,4.689999999999998,-24.0,-
57,20,Emeka Egbuka,WR,38.7,20.0,49.0,18.0,-18.299999999999997,-8.0,-
58,13,Jayden Daniels,QB,55.08,5.0,38.0,5.0,-2.9200000000000017,-20.0,-
59,21,Terry McLaurin,WR,42.93,22.0,64.0,23.0,-16.07,5.0,-
60,7,Travis Kelce,TE,100.93,9.0,82.0,11.0,40.93000000000001,22.0,OUR RANK HIGH (ESPN lower)
