player_name,position,rec_yards_line,rec_tds_line,rush_yards_line,rush_tds_line,pass_yards_line,pass_tds_line,source
Colston Loveland,TE,775.0,5.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Courtland Sutton,WR,762.5,7.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
D'Andre Swift,RB,,,763.0,6.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
DJ Moore,WR,788.0,6.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
DK Metcalf,WR,825.5,5.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Dak Prescott,QB,,,,,3950.5,27.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Dallas Goedert,TE,575.0,5.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Dalton Kincaid,TE,537.5,3.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Davante Adams,WR,775.5,9.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
David Montgomery,RB,,,750.5,8.0,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
De'Von Achane,RB,,,975.5,5.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
DeVonta Smith,WR,1025.0,5.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Denzel Boston,WR,450.0,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Derrick Henry,RB,,,1237.5,13.0,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Drake London,WR,1125.0,7.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Drake Maye,QB,,,412.5,4.0,3725.5,25.5,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Emeka Egbuka,WR,850.0,6.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Fernando Mendoza,QB,,,,,2400.0,12.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Garrett Wilson,WR,975.0,4.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
George Pickens,WR,1013.0,7.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Isiah Pacheco,WR,,,,4.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
J.K. Dobbins,WR,,,,5.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Ja'Marr Chase,WR,1300.5,10.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jadarian Price,RB,,,750.5,5.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jahmyr Gibbs,RB,,4.0,1187.5,12.0,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jake Ferguson,TE,500.0,4.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jakobi Meyers,WR,,5.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jalen Hurts,QB,,,400.0,8.0,3175.0,22.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
James Cook III,RB,,,1200.5,10.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jameson Williams,WR,888.0,5.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jared Goff,QB,,,,,4062.5,28.5,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Javonte Williams,RB,,,950.5,9.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jaxon Smith-Njigba,WR,1300.5,8.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jaxson Dart,QB,,,437.5,5.5,3063.0,19.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jayden Daniels,QB,,,550.0,4.5,3300.0,21.5,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jayden Reed,WR,637.0,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jaylen Waddle,WR,850.0,5.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jeremiyah Love,RB,,,875.5,5.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Joe Burrow,QB,,,,,3925.0,32.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jonathan Taylor,RB,,,1213.0,11.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jordan Addison,WR,662.0,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jordan Love,QB,,,,,3450.0,24.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Jordan Mason,WR,,,,4.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Josh Allen,QB,,,475.5,11.0,3538.0,24.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Josh Downs,WR,762.5,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Justin Herbert,QB,,,,,3550.5,24.5,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Justin Jefferson,WR,1125.5,7.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
KC Concepcion,WR,587.5,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Kenneth Walker III,RB,,,913.0,7.0,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Kenyon Sadiq,TE,438.0,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Khalil Shakir,WR,638.0,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Kyle Monangai,WR,,,,4.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Kyle Pitts Sr.,TE,750.0,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Kyren Williams,RB,,,1000.0,10.0,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Ladd McConkey,WR,850.5,5.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Lamar Jackson,QB,,,550.5,3.5,3150.0,24.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Luther Burden III,WR,812.5,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Makai Lemon,WR,625.0,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Malik Willis,QB,,,,,3150.0,15.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Mark Andrews,TE,499.5,5.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Marvin Harrison Jr.,WR,813.0,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Matthew Stafford,QB,,,,,3925.5,30.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Michael Pittman Jr.,WR,750.0,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Mike Evans,WR,875.5,6.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Nico Collins,WR,1075.5,6.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Omar Cooper Jr.,WR,538.0,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Omarion Hampton,RB,,,912.5,7.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Puka Nacua,WR,1325.5,8.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Quentin Johnston,WR,,5.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Rhamondre Stevenson,WR,,,,6.0,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Rome Odunze,WR,765.0,6.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Romeo Doubs,WR,612.5,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Sam Darnold,QB,,,,,3712.5,23.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Sam LaPorta,TE,,4.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Saquon Barkley,RB,,,1050.0,7.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Tee Higgins,WR,862.5,8.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Terry McLaurin,WR,938.0,5.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Tetairoa McMillan,WR,925.0,6.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Tony Pollard,RB,,,775.5,5.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Travis Etienne Jr.,RB,,,863.0,5.5,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Travis Kelce,TE,663.0,4.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Trevor Lawrence,QB,,,,,3712.5,25.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Trey McBride,TE,1000.5,6.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Tyler Shough,QB,,,,,3625.0,20.0,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Tyler Warren,TE,737.5,,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Xavier Worthy,WR,,4.0,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
Zay Flowers,WR,963.0,5.5,,,,,"fantasypoints.com season prop articles (consensus midpoint), Jun-Jul 2026"
